brand_id,class_id,drive_id,Model,MSRP,DealerCost,EngineSize,Cylinders,HorsePower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,car_id
1,1,1,MDX,36945,33337,3.5,6,265,17,23,4451,106,189,1
1,2,2,RSX Type S 2dr,23820,21761,2.0,4,200,24,31,2778,101,172,2
1,2,2,TSX 4dr,26990,24647,2.4,4,200,22,29,3230,105,183,3
1,2,2,TL 4dr,33195,30299,3.2,6,270,20,28,3575,108,186,4
1,2,2,3.5 RL 4dr,43755,39014,3.5,6,225,18,24,3880,115,197,5
1,2,2,3.5 RL w/Navigation 4dr,46100,41100,3.5,6,225,18,24,3893,115,197,6
1,3,3,NSX coupe 2dr manual S,89765,79978,3.2,6,290,17,24,3153,100,174,7
2,2,2,A4 1.8T 4dr,25940,23508,1.8,4,170,22,31,3252,104,179,8
2,2,2,A41.8T convertible 2dr,35940,32506,1.8,4,170,23,30,3638,105,180,9
2,2,2,A4 3.0 4dr,31840,28846,3.0,6,220,20,28,3462,104,179,10
2,2,1,A4 3.0 Quattro 4dr manual,33430,30366,3.0,6,220,17,26,3583,104,179,11
2,2,1,A4 3.0 Quattro 4dr auto,34480,31388,3.0,6,220,18,25,3627,104,179,12
2,2,2,A6 3.0 4dr,36640,33129,3.0,6,220,20,27,3561,109,192,13
2,2,1,A6 3.0 Quattro 4dr,39640,35992,3.0,6,220,18,25,3880,109,192,14
2,2,2,A4 3.0 convertible 2dr,42490,38325,3.0,6,220,20,27,3814,105,180,15
2,2,1,A4 3.0 Quattro convertible 2dr,44240,40075,3.0,6,220,18,25,4013,105,180,16
2,2,1,A6 2.7 Turbo Quattro 4dr,42840,38840,2.7,6,250,18,25,3836,109,192,17
2,2,1,A6 4.2 Quattro 4dr,49690,44936,4.2,8,300,17,24,4024,109,193,18
2,2,1,A8 L Quattro 4dr,69190,64740,4.2,8,330,17,24,4399,121,204,19
2,2,1,S4 Quattro 4dr,48040,43556,4.2,8,340,14,20,3825,104,179,20
